10,512
20,514
30,513
40,514
50,515
60,513
70,514
80,516
90,513
100,513
110,515
120,516
130,516
140,517
150,518
160,517
170,517
180,519
190,520
200,517
210,524
220,526
230,526
240,529
250,528
260,529
270,532
280,532
290,534
300,537
310,545
320,542
330,544
340,544
350,545
360,546
370,546
380,546
390,553
400,550
410,551
420,554
430,555
440,556
450,557
460,556
470,556
480,557
490,560
500,560
510,565
520,566
530,568
540,570
550,571
560,572
570,572
580,573
590,574
600,573
610,575
620,577
630,578
640,579
650,580
660,581
670,581
680,580
690,582
700,584
710,586
720,588
730,589
740,592
750,593
760,593
770,594
780,593
790,595
800,595
810,596
820,597
830,599
840,599
850,601
860,603
870,604
880,600
890,602
900,603
910,606
920,607
930,608
940,609
950,613
960,612
970,614
980,613
990,613
1000,614
1010,614
1020,614
1030,614
1040,615
1050,616
1060,618
1070,618
1080,620
1090,619
1100,619
1110,619
1120,620
1130,621
1140,624
1150,626
1160,627
1170,630
1180,629
1190,631
1200,628
1210,629
1220,631
1230,630
1240,630
1250,630
1260,632
1270,634
1280,633
1290,634
1300,634
1310,636
1320,634
1330,635
1340,635
1350,636
1360,639
1370,639
1380,642
1390,643
1400,644
1410,645
1420,644
1430,644
1440,642
1450,644
1460,643
1470,643
1480,646
1490,647
1500,648
1510,647
1520,648
1530,647
1540,648
1550,648
1560,647
1570,649
1580,648
1590,652
1600,653
1610,654
1620,654
1630,657
1640,654
1650,654
1660,654
1670,653
1680,654
1690,655
1700,657
1710,657
1720,655
1730,658
1740,659
1750,658
1760,657
1770,659
1780,658
1790,658
1800,660
1810,663
1820,663
1830,665
1840,665
1850,665
1860,667
1870,667
1880,665
1890,664
1900,665
1910,664
1920,665
1930,666
1940,667
1950,668
1960,668
1970,668
1980,669
1990,667
2000,667
2010,669
2020,672
2030,671
2040,673
2050,674
2060,674
2070,676
2080,674
2090,673
2100,674
2110,672
2120,673
2130,674
2140,674
2150,675
2160,676
2170,676
2180,676
2190,677
2200,676
2210,676
2220,675
2230,677
2240,676
2250,678
2260,681
2270,681
2280,683
2290,684
2300,683
2310,681
2320,679
2330,680
2340,681
2350,681
2360,681
2370,682
2380,683
2390,682
2400,685
2410,683
2420,683
2430,682
2440,683
2450,683
2460,683
2470,684
2480,687
2490,688
2500,689
2510,688
2520,689
2530,688
2540,688
2550,687
2560,687
2570,687
2580,688
2590,689
2600,691
2610,691
2620,691
2630,691
2640,689
2650,688
2660,688
2670,689
2680,692
2690,692
2700,695
2710,694
2720,696
2730,695
2740,695
2750,693
2760,694
2770,693
2780,693
2790,694
2800,693
2810,694
2820,695
2830,696
2840,696
2850,696
2860,696
2870,696
2880,694
2890,691
2900,696
2910,699
2920,698
2930,701
2940,701
2950,700
2960,700
2970,699
2980,698
2990,698
3000,697
3010,699
3020,700
3030,699
3040,700
3050,701
3060,701
3070,698
3080,698
3090,698
3100,698
3110,700
3120,699
3130,702
3140,704
3150,704
3160,703
3170,704
3180,703
3190,701
3200,701
3210,701
3220,703
3230,700
3240,702
3250,703
3260,705
3270,703
3280,702
3290,701
3300,700
3310,703
3320,702
3330,704
3340,704
3350,706
3360,706
3370,706
3380,706
3390,704
3400,704
3410,705
3420,704
3430,703
3440,705
3450,705
3460,705
3470,705
3480,706
3490,705
3500,705
3510,705
3520,703
3530,706
3540,708
3550,708
3560,710
3570,709
3580,710
3590,709
3600,706
3610,706
3620,706
3630,705
3640,707
3650,708
3660,708
3670,712
3680,709
3690,707
3700,707
3710,707
3720,708
3730,708
3740,710
3750,707
3760,712
3770,712
3780,715
3790,712
3800,711
3810,710
3820,709
3830,708
3840,711
3850,710
3860,711
3870,710
3880,711
3890,710
3900,710
3910,710
3920,707
3930,710
3940,710
3950,712
3960,714
3970,715
3980,715
3990,715
4000,715
4010,713
4020,714
4030,712
4040,712
4050,711
4060,716
4070,712
4080,714
4090,713
4100,714
4110,713
4120,712
4130,711
4140,710
4150,713
4160,714
4170,718
4180,716
4190,718
4200,717
4210,717
4220,716
4230,715
4240,715
4250,710
4260,714
4270,715
4280,714
4290,715
4300,715
4310,715
4320,716
4330,714
4340,713
4350,714
4360,715
4370,714
4380,717
4390,717
4400,718
4410,718
4420,718
4430,718
4440,717
4450,717
4460,715
4470,715
4480,715
4490,717
4500,718
4510,717
4520,717
4530,716
4540,716
4550,715
4560,716
4570,715
4580,718
4590,719
4600,719
4610,717
4620,719
4630,719
4640,719
4650,718
4660,717
4670,716
4680,717
4690,716
4700,717
4710,717
4720,716
4730,719
4740,718
4750,716
4760,714
4770,714
4780,714
4790,717
4800,718
4810,719
4820,719
4830,719
4840,719
4850,719
4860,719
4870,717
4880,719
4890,717
4900,718
4910,718
4920,718
4930,719
4940,719
4950,719
4960,718
4970,716
4980,716
4990,717
5000,718
5010,718
5020,719
5030,719
5040,719
5050,719
5060,717
5070,719
5080,719
5090,719
5100,717
5110,718
5120,718
5130,719
5140,719
5150,719
5160,719
5170,719
5180,718
5190,717
5200,718
5210,718
5220,718
5230,718
5240,719
5250,719
5260,717
5270,719
5280,717
5290,719
5300,719
5310,719
5320,718
5330,719
5340,716
5350,717
5360,715
5370,719
5380,719
5390,719
5400,719
5410,718
5420,715
5430,717
5440,717
5450,717
5460,719
5470,719
5480,719
5490,719
5500,719
5510,719
5520,719
5530,719
5540,717
5550,718
5560,718
5570,718
5580,718
5590,718
5600,719
5610,719
5620,718
5630,719
5640,716
5650,717
5660,717
5670,717
5680,718
5690,717
5700,719
5710,717
5720,719
5730,719
5740,719
5750,719
5760,719
5770,719
5780,718
5790,719
